الاسم,المدينة,المنطقة,الحي,الشارع,صندوق البريد,الرمز الريدي,الجوال,البريد الالكتروني
منازل فرحان للوحدات السكنيه,جازان,جازان,الشاطئ,طريق الملك فهد,538,,017-3216600,max_morsy@yahoo.com
فندق نجمة الرشد,العاصمة المقدسة,مكة المكرمة,المسفله,ابراهيم الخليل,0,,014-5352900,ghassanagr4@gmail.com
فندق امجاد الجزيرة,العاصمة المقدسة,مكة المكرمة,اجياد,المصافى,2,,012-5774500,amjadhotels@hotmail.com
اماليا للوحدات السكنية المفروشة,خميس مشيط,عسير,النسيم,الامير سلطان,1,,017-2227000,zx2230233@gmail.com
امار,الرياض,الرياض,السويدي الغربي,الدائري الغربي,1,,011-2472715,aboomar1965@gmail.com
شقق نسمات للوحدات السكنية المفروشة,بريدة,القصيم,حي الريان,Almunsiyah,8265,8265,+966163260707,mutlaq.saleh@outlook.com
فندق داما,ضباء,تبوك,طريق ضباء تبوك,طريق ضباء تبوك,6264,,014-4321938,saudb1400@hotmail.com
مؤسسةاطلالةالربيع للوحدات السكنيه المفروشة,الطائف,مكة المكرمة,حي السرور,king khaled,8675,8675,+966127442652,ETLALT.ALRBYE@HOTMAIL.COM
فندق العلمين,جدة,مكة المكرمة,البلد,الملك عبد العزيز,3097,6418,+966126483953,fallza00@gmail.com
شقق رافال الجنوب للشقق المخدومة,جازان,جازان,حي المطار,العام,2934,2934,+966501042322,m_almuaddi@hotmail.com
شقق شاطيء الحياة للشقق المخدومة,جدة,مكة المكرمة,حي المروة,المنيني,4817,8608,+966122880291,shatyalhayat@gmail.com
منازل المسافر ثلاثة,العاصمة المقدسة,مكة المكرمة,دخلة الولايا,المسفلة,0,,014-5396344,hani13911@gmail.com
فرع شركة مجموعة العييري التجارية المحدودة,القنفذة,مكة المكرمة,الخالدية,الثلاثين,102,,012-7331119,amrosalem26@yahoo.com
اطلالة الواحة,المجمعة,الرياض,الطريق الدائري,طريق الملك عبدالله,100,,011-6322229,kana9us@yahoo.com
مواسم جدة,ثول,مكة المكرمة,الفلاح,الفلاح,5646,,012-6443070,alfaisal-08@hotmail.com
حبيب الحافي للشقق المفروشة,شقراء,الرياض,الغدير,طريق الملك عبدالعزيز,3080,,011-6227070,a7mad2266@gmail.com
شقق لوفا للوحدات السكنية,ينبع,المدينة المنورة,الدانة,شارع عمر بن الخطاب,8402,4940,+966143919642,ateeqalrefai@gmail.com
نزل ليزوان ( أنتولا ),الرياض,الرياض,حي الرمال,شارع الضوء,16,,011-2664000,sa-taleen@hotmail.com
اجنحة تولان,الرياض,الرياض,الروضة,حفصه بنت عمر,1662,,011-4941024,ahmednassar5@gmail.com
شقق بيت الماس للوحدات السكنية,أبها,عسير,النسيم,رماح,6653,6653,+966172268898,maas_house_apartment@outlook.com
شقق فرحه العالمية للوحدات السكنية,جدة,مكة المكرمة,حي الحمدانية,جبل حسان,6231,336,+966126551160,ali@farhaintl.com
فندق مكارم أم القرى,العاصمة المقدسة,مكة المكرمة,الروابى,اجياد,8003,7020,+966125356100,hrm.umq@makarem.sa
زهره اشبليا,الرياض,الرياض,اشبيليه,شارع الخزنه,97,,011-2404037,adelzarzora@gmail.com
دار الهدى المعابده,العاصمة المقدسة,مكة المكرمة,المعابدة,الأمير ماجد بن عبد العزيز,9311,,014-5586446,dar-alhuda@hotmail.com
اوبال الفندقية,أبا السعود,نجران,العريسة,الملك عبد العزيز,1245,,017-5440022,ALFOHID@HOTMAIL.COM
قصر الحنان,ينبع,المدينة المنورة,النسيم,الملك عبد العزيز,7410,,014-3917979,ammar1389lolo@gmail.com
شقق شعاع السودة للشقق المفروشة,أبها,عسير,"7877,حي القرى",5414،حي القرى,20,11466,+966172217598,alahmariahmd28@gmail.com
نزهة المشتاق الفندقية,العاصمة المقدسة,مكة المكرمة,حي النزهة,شارع حسين عرب بجوار ادارة الدوريات الامنية,0,,014-5423026,faqeih1@yahoo.com
منازلنا للوحدات السكنية المفروشة,الرياض,الرياض,حي القدس,الامير محمد بن سعود,3268,12078,+966112459400,f5151@hotmail.com
فندق ماسة الوادي الفندقية,العاصمة المقدسة,مكة المكرمة,النزهه,الرضوى,19,24221,+966125469797,alwadihotel@yahoo.com
ابيات ليان,أبها,عسير,الخشع,عمر بن عبد العزيز,7193,,017-2242555,ssm.606@hotmail.com
درر داريا للوحدات السكنية المفروشة,الرياض,الرياض,الملقا,وادي نوار,36,,011-4853100,abo.sagar2000@hotmail.com
أصال حائل,قفار,حائل,النقرة,فهد العريفي,3,,016-5356558,assalhail@gmail.com
جمعية فتاة ثقيف الخيرية النسائية بالطائف,جدة,مكة المكرمة,المروة,حراء,3161,4931,+966501575197,f.thaqeef@gmail.com
هوليدي ان بوابة جدة,جدة,مكة المكرمة,المروة,طريق المدينة الطالع,1,,012-6836666,ragheb.hr@redseapalace.com
فندق ارتال العالمي للخدمات الفندقية,المدينة المنورة,المدينة المنورة,بضاعة,طريق الملك فيصل ( الدائري الاول ),2997,42311,+966542439389,af@alsubaihisons.com
صفا الذهبي,المدينة المنورة,المدينة المنورة,بني خدرة,الهيثم بن ابي سنان,0,,014-8365999,Safa_grop@hotmail.com
شقق نجمه نواره للوحدات السكنية,نجران,نجران,الضيافه,العام,0,,017-0000000,a1025425347@gmali.com
مؤسسة انهال للوحدات السكنية,الدمام,الشرقية,حي الزهور,الفخر الرازي,5435,6724,+966138098444,mzkhaldi@hotmail.com
يسر للوحدات السكنية المفروشه,القيصومة,الشرقية,المصيف,شارع الملك فيصل بن عبد العزيز,22142,,013-7227363,danahtibahgroup@hotmail.com
فندق سفير العرب,رفحاء,الحدود الشمالية,المساعدية,الامير عبدالله بن  عبدالعزيز بن مساعد,8,,014-6760089,tlal80@hotmail.com
فندق منارة الضيافة,العاصمة المقدسة,مكة المكرمة,آجياد السد,الملك عبدالعزيز,1,,014-5771177,aliayash@hotmail.com
الجمعية التعاونية برفحاء,رفحاء,الحدود الشمالية,المساعدية,الدولي,151,,014-6760742,C.s.rafha@gmail.com
مركذ الصفا,المدينة المنورة,المدينة المنورة,المصانع,المطار الناذل,0,,014-8365999,safagroup@hotmail.com
شقق حديقة الزهور للوحدات السكنية,ينبع,المدينة المنورة,الامارة,عمر بن الخطاب,3943,46422,+966143210101,mn2245@hotmail.com
شركة راية الخالدية للشقق المخدومة,جدة,مكة المكرمة,الخالدية,الامير سعود الفيصل,2652,7490,+966569585085,hb881-hr1@swissotel.com
فندق سنابل الازهر الفندقية,العاصمة المقدسة,مكة المكرمة,حي الهجلة,العام,6175,24221,+966503593960,alnahet@hotmail.com
مؤسسة زهرة النسيم المتميزة للواحدات السكنية المفروشة,جدة,مكة المكرمة,النسيم,أبي العباس الحديثي,10,2916,+966126406718,malekaam1410@gmail.com
شقق راحة البلاد,صبيا,جازان,السلامه,شارع الملك فيصل,0,,017-3263000,qmaa_1@hotmail.com
أجنحة سارة,دومة الجندل,الجوف,الظهرة,الامير سلطان,0,,014-6221129,s.s.as.1428@gmail.com
مناحي ناصر فيحان السهلي,الفراج,الرياض,مخطط 46,العام,127,,011-5522111,alsahliii123@gmail.com
فندق عروق الذهب المكية,العاصمة المقدسة,مكة المكرمة,حي العزيزية,شارع الإحسان,8844,8844,+966562410241,a-aayan@hotmail.com
فندق الهجرة الماسي الفندقية,العاصمة المقدسة,مكة المكرمة,اجياد,الهجرة,9191,6310,+966531499980,fa_339@hotmail.com
فندق جدة هيلتون,جدة,مكة المكرمة,الشاطئ,الكورنيش,1,,012-6590000,mohammed.alshareef@hilton.com
مؤسسة شذا أبها للشقق المفروشة,أبها,عسير,الصفا,البخاري,7912,12345,+966172279589,yiy2000sa@gmail.com
فندق جوهرة التوحيد الفندقية,العاصمة المقدسة,مكة المكرمة,المسفله,التقوى,3346,24233,+966125460118,Yahya21@alfouadgc.com
فندق مكارم اجياد مكة,العاصمة المقدسة,مكة المكرمة,حي اجياد,حمزة بن عبدالمطلب,6699,6020,+966125720500,Hrm.Ajyad@Makarem.sa
فندق ايمن احمد سندي,العاصمة المقدسة,مكة المكرمة,حي الطندباوي,شارع جرهم,3210,364,+966145363700,walismail@yahho.com
فندق اعمار اليت المدينة الفندقية,المدينة المنورة,المدينة المنورة,بضاعة,شارع ام سلمة,6905,5064,+966541482033,k.alkomey@emaaraldiyafa.sa
شركة واجهة نجران للوحدات السكنية,نجران,نجران,حي شرق المطار a,شارع الحصن,3241,66441,+966011111111,wajiht.najran@gmail.com
لؤلؤة التوبة,العاصمة المقدسة,مكة المكرمة,المسفلة,العام,0,,014-5382120,amone56@hotmail.com
فندق جوهرة يزن,العاصمة المقدسة,مكة المكرمة,المسفلة,إبراهيم الخليل,3676,,014-5344010,abdur8887@hotmail.com
شقق بلبيس للوحدات السكنية,بريدة,القصيم,الريان,عمر بن سليم,1,1234,+966504285291,belbes9397@gmail.com
مؤسسة اجنحة الحريري للوحدات السكنية,جدة,مكة المكرمة,حي الحمدانية,عامر بن المنذر(رضي الله عنه),2811,8508,+966555900076,ALHARIRI.HOTEL@GMAIL.COM
شركة الشاطئ الخامس للفنادق التجارية,الرياض,الرياض,المروج,العليا,9092,103617,+966112975758,Faisal.BinSomeh@rotana.com
الماسة الذهبية الأولى,المدينة المنورة,المدينة المنورة,الدرع,سيد الشهداء,88,,014-8340927,goldendaimond1@gmail.com
المختارة العالمي,المدينة المنورة,المدينة المنورة,بضاعة,الستين,42311,,014-8291311,tarig444@hotmail.com
راما الخليجية للوحدات السكنية,الرس,القصيم,هندية,امير المؤمنين علي ابن ابي طالب,12,,016-3380707,r.m.m.14@hotmail.com
لؤلؤة تبارك للوحدات السكنية المفروشة,القياس,جازان,الكدرة,الشارع العام,1,,017-3466889,a9a9d9000@hotmail.com
الرمال منازلى,جدة,مكة المكرمة,الحمراء,شارع غزة,34,,012-6656955,ayman@manazeli.com
صفوة سارة للشقق المفروشه,الدمام,الشرقية,طيبه,ابويحي السلمي,97,,013-8352001,alameenfirst@gmail.com
سما عرعر للشقق المفروشة,عرعر,الحدود الشمالية,المساعدية,الملك عبدالعزيز,389,,014-6640129,or6640129@gmail.com
سنترو العليا من روتانا,الرياض,الرياض,العليا,وادي الارطاوي,7590,55905,+966560696995,a.aljaafari@rotana.com
فندق نور منازل الكرام,العاصمة المقدسة,مكة المكرمة,العزيزية,النور,8732,,014-5594999,dmakers111@gmail.com
دار مشرف,المخواة,الباحة,المثلث,الملك فهد,9354,,017-7391078,aaasssdddaa121212@gmail.com
برود الطائف,الطائف,مكة المكرمة,حي شبرا,شارع شبرا,7467,,012-7329000,broad@outlook.sa
فندق دار التقوى,المدينة المنورة,المدينة المنورة,حي بضاعة,ممر مشاه داخل المنطقة المركزية,2981,6894,+966148291111,fahad.shehata@taqwamadinah
شقق أسيل العلاء للوحدات السكنية,العلا,المدينة المنورة,مخطط المنح 1,العام,7163,716,+966592400092,aloole9292@hotmail.com
الجعفرية,العاصمة المقدسة,مكة المكرمة,المسفلة,المسيال,4029,,014-5377222,emas_2013@yahoo.com
مؤسسة غالية أحد للوحدات السكنية,المدينة المنورة,المدينة المنورة,حي مسجد الدرع,عبدالرحمن بن غنيم بن سعد الاشعري,3083,42313,+966148355833,ghaleyt-ohood@hotmail.com
فندق رتاج الساحل,ينبع,المدينة المنورة,الخريق,طريق الملك عبد الله,4439,,014-3224228,naji_transport_ynb@hotmail.com
ميلاف للوحدات السكنيه المفروشه,الرياض,الرياض,المغرزات,الدوادمي,6558,12481,+966112693822,melafsuites@hotmail.com
بودل,المجمعة,الرياض,حي القدس,الملك عبدالعزيز,588,75,+966509868643,Mgr.afairs@boudl.com
فندق اليمامه الفندقية,النعيرية,الشرقية,العزيزية,عمرو بن كلثوم,8268,37451,+966133730772,F33yamama@yahoo.com
ميثاق التيسير الحديث,العاصمة المقدسة,مكة المكرمة,جرول,التيسير,2,,014-5437013,p.makkah@yahoo.com
شقق منازل الشرقيه للوحدات السكنيه,الجبيل,الشرقية,العليا,الشارع الثاني,422,34446,+966318941005,yousefamri1@hotmail.com
نسايم ليل المصيف,الشفا,مكة المكرمة,الضيق,وادي الضيق,0,,012-0127508,omar.alamliki.07@gmail.com
القبة الذهبية,الرياض,الرياض,الشميسي,شارع الامام عبد العزيز بن محمد بن سعود,107,,011-4094111,kapah98@gmail.com
دانة رماح,رماح,الرياض,مخطط 26,العام,0,,011-5522250,a-_-news@hotmail.com
فندق مآثر الطيبة الفندقية,المدينة المنورة,المدينة المنورة,حي المناخة,طريق الملك فيصل - الدائري الاول,6619,42321,+966501912366,mather@gmail.com
شقق كاذي جدة للوحدات السكنية المفروشة,جدة,مكة المكرمة,مدائن الفهد,الاستاذ الارياضي,0,22336,+966126899111,kadi.jeddah.2016@gmail.com
دار الامان,العاصمة المقدسة,مكة المكرمة,جرول,شارع عمر ابن عبدالعزيز,0,,014-5420333,sa.d.r@hotmail.com
فندق ميرا,جدة,مكة المكرمة,الرويس,شارع الكورنيش,1,,012-6141040,govr@mirahotel.org
فندق الوسام الذهبي الفندقية,الحناكية,المدينة المنورة,المخطط العام حي الشفا,طريق الملك عبد العزيز,1,8611,+966148620349,alrays1@hotmail.com
فندق منار التوحيد1,العاصمة المقدسة,مكة المكرمة,حي المعابدة,طريق الملك فيصل رحمه الله,3657,12418,+966125700005,MANAR_ALTAWHEED@YAHOO.COM
فندق أجياد الجوار الفندقية,العاصمة المقدسة,مكة المكرمة,أجياد,طريق الملك عبدالعزيز,4711,0,+966125541046,albassam.abdul@gmail.com
دار راما,الرياض,الرياض,النسيم الغربي,أكثم بن صيفى,3865,,011-2260202,darrama2020@gmail.com
فرع شركة مجموعة العييري3للوحدات السكنية المفروش,جازان,جازان,المطار,الأمير فيصل,2,,017-3310555,turkyshahrani@gmail.com
شقق ارض الشاطى للوحدات السكنية,الرياض,الرياض,حي النرجس,شارع رقم 229,7928,4148,+966114552773,Landbeach.hotel@outlook.sa
فندق ندوة قريش,العاصمة المقدسة,مكة المكرمة,البيبان,جرول,2473,24231,+966125752538,quraish_group1986@yahoo.com
فندق فخامة الامجاد الفندقية,العاصمة المقدسة,مكة المكرمة,شعب عامر,شارع غزا,26,,014-5270022,y_h@windowslive.com
نور الصلاح,العاصمة المقدسة,مكة المكرمة,جبل الكعبة,جبل الكعبة,1,,014-5450022,A0555508571@HOTMAIL.COM
شركة ستون فلج للفلل الفندقية,الخبر,الشرقية,تالا,العزيزية,0,,013-8909998,algofali@hotmail.com
شركة عبدالله و يوسف عبدالله الاسيمر,الدمام,الشرقية,الخالديه,0,0,3922,+966137228181,terket999@gmail.com
فندق برج الضيافة الفندقية,العاصمة المقدسة,مكة المكرمة,حي المسفلة,الهجرة,8795,5941,+966125488882,motawi_d@hotmail.com
فندق نسمات اجياد الفندقية,العاصمة المقدسة,مكة المكرمة,اجياد,بئر بليلة,6320,8243,+966506520002,a.m.j_350@hotmail.com
الرحاب,العاصمة المقدسة,مكة المكرمة,المسفلة,ابراهيم الخليل,0,,014-5384314,info@almarwa-ltd.com
أنوار الحبيب,المدينة المنورة,المدينة المنورة,قربان,العوالي الطالع,3475,,014-8488812,hr@florina.sa
شقق المثمر للوحدات السكنية,جدة,مكة المكرمة,الحمراء,الاسكندرية,2631,23212,+966122631222,fahad.h@mothmir.net
بيت الانفال,الرياض,الرياض,السويدي,الدائري الغربي,234,,011-4326215,baitalanfaal@yahoo.com
فندق كارلتون المعيبد,الدمام,الشرقية,حي الراكة الشمالية,القاسم الخوارزمي,2767,1235,+966565548929,personnel@carlton-hotel.com.sa
شقق سارة للشقق المفروشة,جسر الملك فهد,الشرقية,العقربية,اليرموك,14,,013-8982726,ATC-1403@HOTMAIL.COM
فندق سماء ام القري,العاصمة المقدسة,مكة المكرمة,الحفاير,ام القري,2,,014-6922888,tbta3@naddarabia.com
الميساء الذهبية,خميس مشيط,عسير,العزيزية,الملك عبدالله,132,,017-2217601,zir.vip@hotmail.com
فندق أرتال طيبة الفندقية,المدينة المنورة,المدينة المنورة,حي قربان,ابو قتاده الانصارى,8123,1930,+966540000869,malsubaihi@alsubaihisons.com
جوهرة البدائع,العاصمة المقدسة,مكة المكرمة,العزيزيةالجنوبي,الاميرسلطان,57,,014-5247847,bador05999@gmaildot.com
راحة المجد,الرياض,الرياض,المونسية,الفجر,165,,011-4452880,mohsen.112@hotmail.com
فندق أوان,العاصمة المقدسة,مكة المكرمة,الروابى,أجياد,8199,24234,+966553636556,admingov@awangrp.com
فندق العليان الذهبي الفندقية,العاصمة المقدسة,مكة المكرمة,المسفلة,شارع ابراهيم الخليل,3608,7657,+966125395130,ha.alyzedei@gmail.com
شقق دار حنين للشقق المفروشة,الرياض,الرياض,حي طويق,سليمان بن عبدالملك بن مروان,2522,23061,+966533337575,m0504445031@gmail.com
شركة نخبة الملقا الفندقية شركة شخص واحد,الرياض,الرياض,حي الصحافة,وادي بيش,7359,2361,+966501883956,info@almalqaelitehotel.com
فندق شذي الوسام اثنان الفندقية,العاصمة المقدسة,مكة المكرمة,حي اجياد,شارع العام,5281,1254,+966555536199,bussmathail@hotmail.com
واحة ألين,الهفوف,الشرقية,القريشية,الخليج,0,,013-5888818,alreem-1@hotmail.com
شقق نزل الاسرة للشقق المفروشة,ليلى,الرياض,حي الملك فهد,الأمير محمد بن عبدالعزيز,3435,504,+966116822229,nasser171383@gmail.com
نزل البحر للوحدات السكنية المفروشة,الخبر,الشرقية,الشبيلي,الرقعي,7274,,013-8633331,just-me-0000@hotmail.com
شقق الغروب للشقق المخدومة,الرياض,الرياض,حي بدر,الخليفة المامون,8479,2601,+9664235899,KIG-800@hotmail.com
دانا للوحدات السكنية المفروشة,الفرعة,الباحة,بني سار,شارع الملك عبد العزيز,1,,017-7317444,DANA1434DANA@GMAIL.COM
فندق نخبة جدة,جدة,مكة المكرمة,الشاطئ,الامير فيصل بن فهد,6,,012-6205771,essamzahuan@gmail.com
منتجع بيت الورد للسياحة,جدة,مكة المكرمة,حي اللؤلؤ,أبو البحتري الطائي,6443,3887,+966122888280,halzayed@hamdanstudio.com
المنارة إيواء,العاصمة المقدسة,مكة المكرمة,أجياد,بئر بليلة,0,,014-5773022,mnqawi@hotmail.com
فندق ديار المرفق الفندقية,العاصمة المقدسة,مكة المكرمة,المعابده,المعابده,2074,2074,+966125466002,apualghith22@gmail.com
شركة سيلين هوم للشقق المخدومة,الرياض,الرياض,الملقا,العمرة,4169,54871,+966112277007,a-mohssin@hotmail.com
شركة رواحل الهدى المتحدة للخدمات الفندقيه شركة شخص واحد,العاصمة المقدسة,مكة المكرمة,الهجلة,الهجرة,6244,3943,+966567722224,rawahelh@gmail.com
فندق الدار روافد الفندقية,المدينة المنورة,المدينة المنورة,المناخة,سعيد بن زيد القرشي,6636,6636,+966148170000,hr@tulipinnaldarmadinah.com
سنتيريا,أبا الرشاش,نجران,الفهد,الملك خالد,66471,,017-5223020,ali.almahri.1010@hotmail.com
شقق منازل الرؤية للشقق الفندقية,العريسة,نجران,العريسة,عبدالمجيد عبدالله جبور النمري,4866,8834,+966175420050,alroay0050@gmail.com
شركة حياة الرياض الفندقية,الرياض,الرياض,حي المربع,الامير عبدالعزيز بن مساعد بن جلوي,7102,2245,+966506400002,gm@hayatalriyadh.com
فندق الأندلس دار السلام,المدينة المنورة,المدينة المنورة,حي النقاء,ابى هريره رضى الله عنه,6338,2417,+966148191000,hralandaluss@gmail.com
فندق نخبة الخير للايواء السياحي,العاصمة المقدسة,مكة المكرمة,حى الروابي,شارع أجياد,8648,18240,+966125356361,mahmoudyosef2013@hotmail.com
رؤوم إن للوحدات السكنية المفروشة,الخفجي,الشرقية,العزيزية ج,الملك عبدالله,0,,013-7669090,none@none.none
فندق الشاهين,عرعر,الحدود الشمالية,الناصرية,الامير نواف بن عبدالعزيز,3142,,014-6625301,dd@hotmail.com
مؤسسة هاي هاوس للايواء السياحي,شرورة,نجران,حي الروضة الشمالية,طريق الملك عبدالعزيز,6481,68371,+966175322202,info@highhouseksa.net
فندق عبدالله احمد باجابر,العاصمة المقدسة,مكة المكرمة,العزيزية,مخطط محبس الجن الضفة الشمالية,8762,,014-5236463,Bjustaniya@yahoo.com
مؤسسة رويال الشرق للوحدات السكنية,الدمام,الشرقية,حي طيبة,abobakr,7656,4512,+966503755519,mohp2@hotmail.com
مؤسسة الهليون للشقق المفروشة,الرياض,الرياض,الشهداء,ABU GAFAR ALMNSOR,7374,13241,+966112494640,ALOFERE@HOTMAIL.COM
دوم,الرياض,الرياض,الورود,العروبة,159,,011-4642755,domehotel@hotmail.com
فندق المدينة هيلتون الفندقية,المدينة المنورة,المدينة المنورة,بضاعه,ابو عبيدة بن الجراح رضي الله عنه,2861,3936,+966148201000,Abdulmohsin.suroor@hilton.com
ماما نوره,الرياض,الرياض,الموسى,أحمد ابن الخطاب,2379,,011-2048036,hamoud5005@hotmail.com
فندق قصر الازهر الفندقية,العاصمة المقدسة,مكة المكرمة,حي النزهة,طريق مكة جدة القديم,2509,24221,+966546152317,alnahet@hotmail.com
برج ميار,تندحة,عسير,اليرموك,العام,112,,017-2373887,hhaylah22@gmail.com
قصر آرام للوحدات السكنية المفروشة,الخفجي,الشرقية,الحمراء,الملك عبدالله,2157,,013-7666631,sattea@hotmail.com
شقق منتجع الريان للوحدات السكنية,خميس مشيط,عسير,عتود العمائر - الصالحية,العام,6636,6636,+966506744402,safr44402@hotmail.com
شركة انوار المسك للخدمات الفندقيه شركة شخص واحد,العاصمة المقدسة,مكة المكرمة,الغزة,الرشيدي,7411,24236,+966125700664,walmisk1@gmail.com
منازل المروة,العاصمة المقدسة,مكة المكرمة,اجياد,ريع بخش,0,,014-5350009,Hatim@benaa-group.com.sa
قصر الحاجب,عنيزة,القصيم,الهدا,طريق السفير الشبيلي,2940,,016-3612222,dar.salaam.2014@gmail.com
كروان الشرق للوحدات السكنية المفروشة,الدمام,الشرقية,الفيصلية,ابوبكر الصديق,279,7809,+966138133300,fawaz@mmce-sa.com
فندق مهاجر المجد,العاصمة المقدسة,مكة المكرمة,المسفلة,أبو طبنجة,0,,014-5669111,rwad.2012@hotmail.com
فندق الجواد أجياد,العاصمة المقدسة,مكة المكرمة,اجياد السد,اجياد السد,7206,,014-5344196,darriyadh@hotmail.com
قصر المنسك,أبها,عسير,المنسك,ابو هريرة,2,,017-2300064,bahnsawy@ymail.com
مؤسسة دانة الرياض للشقق المفروشة,الرياض,الرياض,حي اليرموك,فجر,7682,2435,+966112364979,al3amer444@hotmail.com
المعالم العالمية,جدة,مكة المكرمة,الزهراء,أريد بن محشي,457,,012-6417171,Ffff@hotmail.com
شركة درة الرؤية للخدمات الفندقية,جدة,مكة المكرمة,الثغر,طريق الأمير ماجد,4466,7117,+966502888999,aam.salman@hotmail.com
سمح الضيافة,طبرجل,الجوف,العزيزية,الملك خالد,2270,74765,+966146285599,samhhotel@gmail.com
شقق فيلا الخليج  المفروشة,حوطة بني تميم,الرياض,السلامية,الامير احمد بن عبد العزيز,3577,,011-5556715,villagulf1@gmail.com
فندق مبارك 1,العاصمة المقدسة,مكة المكرمة,المسفله,ابراهيم الخليل,0,,014-5311112,info@mobarkhotel.com
درة الهدا للوحدات السكنية,الطائف,مكة المكرمة,الهدا,الهدا,2425,,012-7425222,a1044686473@hotmail.com
رياحين الرياض,الرياض,الرياض,المنصورة,رنية,3513,,011-4475360,Ryaheen2014@gmail.com
شقق سلافة الطائف للوحدات السكنيه,الطائف,مكة المكرمة,حي مسرة 2,طريق الهدا,4657,2655,+966127342163,Khalaf121266@gmail.com
